gene_id	fraction_samples
ENSG00000042493.16	1.0
ENSG00000042753.12	1.0
ENSG00000042781.14	0.975
ENSG00000042832.12	0.975
ENSG00000042980.14	0.9875
ENSG00000043093.15	1.0
ENSG00000043143.22	1.0
ENSG00000043462.13	1.0
ENSG00000043514.17	1.0
ENSG00000043591.6	1.0
ENSG00000044090.13	1.0
ENSG00000044115.21	1.0
ENSG00000044446.12	1.0
ENSG00000044459.15	1.0
ENSG00000044524.11	1.0
ENSG00000044574.9	1.0
ENSG00000046604.15	1.0
ENSG00000046647.15	1.0
ENSG00000046651.16	1.0
ENSG00000046653.15	1.0
ENSG00000046889.19	1.0
ENSG00000047056.18	1.0
ENSG00000047188.16	1.0
ENSG00000047230.15	1.0
ENSG00000047249.18	1.0
ENSG00000047315.17	1.0
ENSG00000047346.13	1.0
ENSG00000047365.13	1.0
ENSG00000047410.14	1.0
ENSG00000047457.14	1.0
ENSG00000047578.14	1.0
ENSG00000047579.20	1.0
ENSG00000047597.7	1.0
ENSG00000047617.18	1.0
ENSG00000047621.12	1.0
ENSG00000047634.15	1.0
ENSG00000047644.20	1.0
ENSG00000047648.23	1.0
ENSG00000047662.5	0.95
ENSG00000047849.22	1.0
ENSG00000047932.14	1.0
ENSG00000048028.12	1.0
ENSG00000048052.25	1.0
ENSG00000048140.18	1.0
ENSG00000048162.22	1.0
ENSG00000048342.18	1.0
ENSG00000048392.13	1.0
ENSG00000048405.11	1.0
ENSG00000048471.14	1.0
ENSG00000048540.16	1.0
ENSG00000048544.7	1.0
ENSG00000048649.14	1.0
ENSG00000048707.15	1.0
ENSG00000048740.19	1.0
ENSG00000048828.18	1.0
ENSG00000048991.18	1.0
ENSG00000049089.15	0.9875
ENSG00000049130.16	1.0
ENSG00000049167.16	1.0
ENSG00000049192.15	0.9875
ENSG00000049239.13	1.0
ENSG00000049245.13	1.0
ENSG00000049246.15	1.0
ENSG00000049283.19	0.9375
ENSG00000049323.16	1.0
ENSG00000049449.10	1.0
ENSG00000049540.19	1.0
ENSG00000049541.11	1.0
ENSG00000049618.25	1.0
ENSG00000049656.14	1.0
ENSG00000049759.20	1.0
ENSG00000049769.14	1.0
ENSG00000049860.14	1.0
ENSG00000049883.15	1.0
ENSG00000050030.16	0.9875
ENSG00000050130.18	1.0
ENSG00000050165.19	1.0
ENSG00000050327.15	0.9875
ENSG00000050344.9	1.0
ENSG00000050393.12	1.0
ENSG00000050405.14	1.0
ENSG00000050426.16	1.0
ENSG00000050438.17	0.9875
ENSG00000050555.19	0.9875
ENSG00000050628.21	0.9875
ENSG00000050748.18	1.0
ENSG00000050767.18	1.0
ENSG00000050820.17	1.0
ENSG00000051009.11	1.0
ENSG00000051108.15	1.0
ENSG00000051128.19	1.0
ENSG00000051180.17	1.0
ENSG00000051341.15	0.9875
ENSG00000051382.10	1.0
ENSG00000051523.12	1.0
ENSG00000051596.10	1.0
ENSG00000051620.11	1.0
ENSG00000051825.15	1.0
ENSG00000052126.17	1.0
ENSG00000052344.16	0.9625
ENSG00000052723.12	1.0
ENSG00000052749.15	1.0
ENSG00000052795.13	1.0
ENSG00000052802.13	1.0
ENSG00000052841.16	1.0
ENSG00000053254.16	1.0
ENSG00000053328.9	0.9875
ENSG00000053371.14	1.0
ENSG00000053372.5	1.0
ENSG00000053438.11	1.0
ENSG00000053501.15	1.0
ENSG00000053524.13	0.9875
ENSG00000053702.15	1.0
ENSG00000053747.17	1.0
ENSG00000053770.12	1.0
ENSG00000053900.11	1.0
ENSG00000053918.20	1.0
ENSG00000054116.12	1.0
ENSG00000054118.15	1.0
ENSG00000054148.18	1.0
ENSG00000054179.12	0.9375
ENSG00000054219.11	1.0
ENSG00000054267.22	1.0
ENSG00000054277.14	1.0
ENSG00000054282.16	1.0
ENSG00000054392.13	1.0
ENSG00000054523.20	1.0
ENSG00000054598.9	1.0
ENSG00000054611.14	1.0
ENSG00000054654.20	1.0
ENSG00000054690.14	1.0
ENSG00000054793.14	1.0
ENSG00000054938.17	0.925
ENSG00000054965.11	1.0
ENSG00000054967.13	1.0
ENSG00000054983.17	1.0
ENSG00000055044.11	1.0
ENSG00000055070.17	1.0
ENSG00000055118.18	0.9625
ENSG00000055130.18	1.0
ENSG00000055147.19	1.0
ENSG00000055163.21	1.0
ENSG00000055208.20	1.0
ENSG00000055211.14	1.0
ENSG00000055332.19	1.0
ENSG00000055483.20	1.0
ENSG00000055609.21	1.0
ENSG00000055732.13	0.925
ENSG00000055813.6	1.0
ENSG00000055917.17	1.0
ENSG00000055950.17	1.0
ENSG00000056050.7	1.0
ENSG00000056097.16	1.0
ENSG00000056277.16	1.0
ENSG00000056558.11	1.0
ENSG00000056586.16	1.0
ENSG00000056736.10	1.0
ENSG00000056972.21	1.0
ENSG00000056998.21	1.0
ENSG00000057019.16	1.0
ENSG00000057252.13	1.0
ENSG00000057294.19	1.0
ENSG00000057468.7	0.95
ENSG00000057608.18	1.0
ENSG00000057657.17	1.0
ENSG00000057663.16	1.0
ENSG00000057704.13	1.0
ENSG00000057757.10	1.0
ENSG00000057935.14	1.0
ENSG00000058056.10	1.0
ENSG00000058063.17	1.0
ENSG00000058085.15	1.0
ENSG00000058091.17	1.0
ENSG00000058262.11	1.0
ENSG00000058272.19	1.0
ENSG00000058404.21	0.9625
ENSG00000058453.17	1.0
ENSG00000058600.16	1.0
ENSG00000058668.16	1.0
ENSG00000058673.17	0.9875
ENSG00000058729.11	1.0
ENSG00000058799.15	1.0
ENSG00000058804.12	1.0
ENSG00000058866.15	1.0
ENSG00000059122.17	1.0
ENSG00000059145.19	1.0
ENSG00000059377.19	1.0
ENSG00000059378.13	1.0
